dependency	dependent	label	notes	citation
table	index	table_name	the table on which the index operates	https://www.postgresql.org/docs/current/sql-createindex.html
expr	index		expression on column, like lower(text_case)	https://www.postgresql.org/docs/current/sql-createindex.html
column	index		index a column	https://www.postgresql.org/docs/current/sql-createindex.html
column	index	include	include a column for index-only scans	https://www.postgresql.org/docs/current/sql-createindex.html
opclass	index			https://www.postgresql.org/docs/current/sql-createindex.html
collation	index	collate		https://www.postgresql.org/docs/current/sql-createindex.html
tablespace	index			https://www.postgresql.org/docs/current/sql-createindex.html
expr	index	predicate		https://www.postgresql.org/docs/current/sql-createindex.html
type	cast	{source,target}_type		https://www.postgresql.org/docs/current/sql-createcast.html
function	cast			https://www.postgresql.org/docs/current/sql-createcast.html
type	function	argtype		https://www.postgresql.org/docs/current/sql-createfunction.html
type	function	rettype		https://www.postgresql.org/docs/current/sql-createfunction.html
schema	function			https://www.postgresql.org/docs/current/sql-createfunction.html
language	function	lang_name		https://www.postgresql.org/docs/current/sql-createfunction.html
function	function	support_function		https://www.postgresql.org/docs/current/sql-createfunction.html
type	type	data_type	for composite types	https://www.postgresql.org/docs/current/sql-createtype.html
type	collation		for range types or composite types	https://www.postgresql.org/docs/current/sql-createtype.html
type	type	subtype	for range types	https://www.postgresql.org/docs/current/sql-createtype.html
type	type	like_type	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
opclass	type	subtype_operator_class		https://www.postgresql.org/docs/current/sql-createtype.html
function	type	subtype_diff	for range types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	canonical_function	for range types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	input_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	output_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	receive_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	send_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	type_modifier_input_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	type_modifier_output_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	analyze_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
function	type	subscript_function	for base types	https://www.postgresql.org/docs/current/sql-createtype.html
schema	opclass			https://www.postgresql.org/docs/current/sql-createopclass.html
type	opclass	data_type		https://www.postgresql.org/docs/current/sql-createopclass.html
opfamily	opclass	family_name		https://www.postgresql.org/docs/current/sql-createopclass.html
type	opclass	op_type		https://www.postgresql.org/docs/current/sql-createopclass.html
type	opclass	argument_type		https://www.postgresql.org/docs/current/sql-createopclass.html
function	opclass	function_name		https://www.postgresql.org/docs/current/sql-createopclass.html
operator	opclass	operator_name	The name (optionally schema-qualified) of an operator associated with the operator class.	https://www.postgresql.org/docs/current/sql-createopclass.html
function	access method	handler_function		https://www.postgresql.org/docs/current/sql-create-access-method.html
function	operator	function_name		https://www.postgresql.org/docs/current/sql-createoperator.html
function	operator	res_proc,join_proc		https://www.postgresql.org/docs/current/sql-createoperator.html
type	operator	{left,right}_type		https://www.postgresql.org/docs/current/sql-createoperator.html
type	sequence	data_type		https://www.postgresql.org/docs/current/sql-createsequence.html
column	sequence			https://www.postgresql.org/docs/current/sql-createsequence.html
collation	domain			https://www.postgresql.org/docs/current/sql-createdomain.html
expr	domain			https://www.postgresql.org/docs/current/sql-createdomain.html
domain	constraint			https://www.postgresql.org/docs/current/sql-createdomain.html
expr	policy	{using,check}_expression		https://www.postgresql.org/docs/current/sql-createdomain.html
role	policy	role_name		https://www.postgresql.org/docs/current/sql-createdomain.html
table	policy	table_name		https://www.postgresql.org/docs/current/sql-createdomain.html
table	trigger	table_name		https://www.postgresql.org/docs/current/sql-createtrigger.html
expr	trigger	condition		https://www.postgresql.org/docs/current/sql-createtrigger.html
function	trigger			https://www.postgresql.org/docs/current/sql-createtrigger.html
